angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[779, 230, 264, 354]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[780, 229, 265, 353]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[780, 229, 265, 353]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[782, 232, 265, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 232, 265, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 231, 266, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 232, 266, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 232, 266, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 265, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 265, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 235, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 233, 266, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 266, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 267, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 267, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 234, 265, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[784, 234, 265, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[784, 234, 265, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[784, 236, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 235, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 234, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[787, 236, 267, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[787, 236, 267, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[784, 234, 266, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 234, 266, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 234, 266, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[788, 235, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[788, 235, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 236, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 229, 262, 351]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[784, 229, 262, 351]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[783, 227, 263, 354]",0.0,0.0,0.96,0.03,0.0,0.0
0.0,"[783, 226, 263, 355]",0.0,0.0,0.95,0.04,0.0,0.0
0.0,"[783, 226, 263, 355]",0.0,0.0,0.95,0.04,0.0,0.0
0.0,"[784, 225, 263, 357]",0.0,0.0,0.95,0.04,0.0,0.01
0.0,"[783, 226, 263, 356]",0.0,0.0,0.95,0.04,0.0,0.01
0.0,"[784, 236, 266, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 237, 264, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 237, 264, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 227, 263, 355]",0.0,0.0,0.95,0.04,0.0,0.01
0.0,"[783, 227, 263, 355]",0.0,0.0,0.95,0.04,0.0,0.01
0.0,"[784, 236, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 265, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 265, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 264, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 264, 351]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 235, 268, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 235, 268, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 236, 268, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 235, 269, 353]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[782, 235, 269, 353]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[783, 234, 266, 346]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[783, 234, 266, 347]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[783, 234, 266, 347]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[780, 232, 271, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[780, 232, 272, 351]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[780, 232, 271, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[780, 232, 271, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[780, 232, 271, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[780, 232, 270, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[780, 232, 270, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[780, 231, 265, 349]",0.0,0.0,0.97,0.02,0.0,0.0
0.0,"[781, 231, 264, 349]",0.0,0.0,0.97,0.02,0.0,0.0
0.0,"[781, 232, 263, 348]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 232, 264, 351]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 231, 265, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 233, 266, 352]",0.0,0.01,0.98,0.01,0.0,0.0
0.0,"[782, 233, 266, 352]",0.0,0.01,0.98,0.01,0.0,0.0
0.0,"[782, 233, 266, 352]",0.0,0.01,0.98,0.01,0.0,0.0
0.0,"[778, 234, 271, 352]",0.0,0.01,0.98,0.01,0.0,0.0
0.0,"[778, 234, 271, 352]",0.0,0.01,0.98,0.01,0.0,0.0
0.0,"[779, 232, 267, 354]",0.0,0.0,0.97,0.02,0.0,0.0
0.0,"[779, 232, 267, 354]",0.0,0.0,0.97,0.02,0.0,0.0
0.0,"[779, 232, 267, 354]",0.0,0.0,0.97,0.02,0.0,0.0
0.0,"[781, 233, 266, 354]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[781, 233, 267, 354]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[779, 231, 266, 353]",0.0,0.01,0.95,0.03,0.0,0.01
0.0,"[779, 231, 266, 353]",0.0,0.0,0.95,0.03,0.0,0.01
0.0,"[779, 231, 266, 353]",0.0,0.0,0.95,0.03,0.0,0.01
0.0,"[780, 230, 266, 356]",0.0,0.01,0.96,0.02,0.0,0.01
0.0,"[780, 231, 265, 354]",0.0,0.01,0.95,0.03,0.0,0.01
0.0,"[782, 229, 264, 357]",0.0,0.01,0.93,0.05,0.0,0.01
0.0,"[781, 229, 265, 357]",0.0,0.01,0.92,0.06,0.0,0.01
0.0,"[781, 229, 265, 357]",0.0,0.01,0.92,0.06,0.0,0.01
0.0,"[786, 242, 260, 348]",0.0,0.01,0.95,0.04,0.01,0.0
0.0,"[786, 242, 260, 348]",0.0,0.0,0.95,0.04,0.01,0.0
0.0,"[782, 240, 272, 350]",0.0,0.01,0.9,0.08,0.0,0.0
0.0,"[782, 241, 272, 350]",0.0,0.01,0.91,0.07,0.0,0.0
0.01,"[781, 241, 272, 350]",0.0,0.01,0.92,0.06,0.0,0.0
0.02,"[782, 243, 275, 347]",0.0,0.03,0.83,0.12,0.01,0.0
0.02,"[782, 242, 275, 348]",0.0,0.02,0.85,0.1,0.01,0.0
0.03,"[783, 244, 272, 347]",0.0,0.04,0.78,0.14,0.01,0.01
0.02,"[781, 242, 277, 349]",0.0,0.03,0.78,0.16,0.01,0.01
0.02,"[781, 242, 277, 349]",0.0,0.03,0.78,0.17,0.01,0.01
0.02,"[784, 243, 272, 346]",0.0,0.03,0.78,0.16,0.0,0.01
0.02,"[784, 243, 272, 346]",0.0,0.03,0.78,0.16,0.0,0.01
0.03,"[784, 242, 273, 346]",0.0,0.05,0.75,0.15,0.01,0.01
0.05,"[785, 245, 272, 345]",0.0,0.06,0.73,0.14,0.01,0.01
0.05,"[785, 245, 272, 345]",0.0,0.06,0.73,0.14,0.01,0.01
0.22,"[781, 242, 279, 344]",0.0,0.26,0.14,0.29,0.07,0.02
0.21,"[781, 241, 279, 346]",0.0,0.28,0.13,0.28,0.07,0.02
0.3,"[782, 242, 280, 348]",0.0,0.19,0.01,0.33,0.15,0.02
0.33,"[782, 242, 280, 349]",0.0,0.2,0.01,0.29,0.14,0.02
0.3,"[781, 242, 281, 349]",0.0,0.21,0.01,0.3,0.14,0.03
0.3,"[782, 239, 281, 345]",0.0,0.23,0.01,0.23,0.17,0.06
0.3,"[782, 240, 280, 344]",0.0,0.21,0.01,0.26,0.18,0.04
0.26,"[782, 235, 282, 349]",0.0,0.2,0.01,0.23,0.23,0.08
0.3,"[782, 235, 282, 350]",0.0,0.16,0.01,0.23,0.23,0.08
0.3,"[782, 235, 282, 350]",0.0,0.16,0.01,0.23,0.23,0.08
0.05,"[785, 243, 275, 338]",0.0,0.23,0.0,0.24,0.47,0.0
0.1,"[783, 257, 286, 357]",0.0,0.18,0.0,0.55,0.13,0.04
0.1,"[783, 257, 286, 357]",0.0,0.19,0.0,0.54,0.12,0.05
0.15,"[786, 259, 279, 351]",0.0,0.27,0.0,0.35,0.19,0.04
0.16,"[786, 259, 280, 351]",0.0,0.24,0.0,0.38,0.19,0.04
0.16,"[786, 259, 280, 351]",0.0,0.23,0.0,0.38,0.19,0.03
0.19,"[785, 251, 285, 355]",0.0,0.31,0.0,0.22,0.23,0.04
0.19,"[785, 251, 285, 355]",0.0,0.32,0.0,0.22,0.23,0.04
0.2,"[783, 257, 285, 352]",0.0,0.48,0.0,0.09,0.21,0.02
0.2,"[783, 257, 285, 352]",0.0,0.48,0.0,0.09,0.21,0.02
0.21,"[783, 257, 285, 352]",0.0,0.47,0.0,0.09,0.21,0.02
0.26,"[783, 262, 283, 350]",0.0,0.43,0.0,0.05,0.24,0.02
0.25,"[783, 261, 284, 351]",0.0,0.47,0.0,0.05,0.23,0.01
0.28,"[783, 258, 286, 356]",0.0,0.39,0.0,0.05,0.26,0.02
0.3,"[784, 259, 284, 354]",0.0,0.38,0.0,0.05,0.26,0.01
0.3,"[784, 259, 284, 354]",0.0,0.38,0.0,0.05,0.26,0.01
0.15,"[787, 252, 270, 361]",0.0,0.48,0.0,0.04,0.32,0.01
0.14,"[787, 252, 269, 361]",0.0,0.5,0.0,0.04,0.3,0.01
0.17,"[788, 252, 269, 362]",0.0,0.51,0.0,0.04,0.27,0.01
0.17,"[788, 252, 269, 362]",0.0,0.51,0.0,0.04,0.27,0.01
0.17,"[788, 252, 269, 362]",0.0,0.51,0.0,0.04,0.27,0.01
0.15,"[787, 251, 269, 363]",0.0,0.5,0.0,0.04,0.3,0.01
0.15,"[787, 251, 269, 362]",0.0,0.52,0.0,0.05,0.27,0.01
0.23,"[782, 257, 284, 354]",0.0,0.53,0.0,0.04,0.19,0.01
0.21,"[781, 258, 285, 354]",0.0,0.55,0.0,0.03,0.21,0.01
0.21,"[781, 258, 285, 354]",0.0,0.55,0.0,0.03,0.21,0.01
0.17,"[781, 256, 284, 354]",0.0,0.56,0.0,0.04,0.23,0.0
0.16,"[782, 256, 283, 354]",0.0,0.58,0.0,0.05,0.21,0.0
0.12,"[781, 258, 283, 352]",0.0,0.62,0.0,0.03,0.22,0.0
0.12,"[781, 258, 283, 352]",0.0,0.62,0.0,0.03,0.23,0.0
0.12,"[781, 258, 283, 352]",0.0,0.62,0.0,0.03,0.23,0.0
0.07,"[792, 253, 262, 354]",0.0,0.72,0.0,0.02,0.19,0.0
0.07,"[792, 253, 262, 355]",0.0,0.71,0.0,0.02,0.2,0.0
0.06,"[794, 253, 261, 356]",0.0,0.78,0.0,0.02,0.15,0.0
0.05,"[794, 253, 261, 356]",0.0,0.78,0.0,0.02,0.14,0.0
0.05,"[794, 253, 261, 356]",0.0,0.78,0.0,0.02,0.14,0.0
0.06,"[795, 253, 260, 355]",0.0,0.76,0.0,0.02,0.16,0.0
0.05,"[794, 253, 261, 355]",0.0,0.77,0.0,0.02,0.17,0.0
0.06,"[794, 251, 261, 356]",0.0,0.73,0.0,0.03,0.18,0.0
0.06,"[795, 252, 260, 355]",0.0,0.72,0.0,0.02,0.19,0.0
0.06,"[795, 252, 260, 355]",0.0,0.72,0.0,0.02,0.19,0.0
0.05,"[796, 252, 259, 355]",0.0,0.78,0.0,0.01,0.16,0.0
0.05,"[796, 252, 259, 355]",0.0,0.78,0.0,0.02,0.15,0.0
0.05,"[794, 251, 262, 359]",0.0,0.76,0.0,0.02,0.17,0.0
0.04,"[795, 251, 262, 358]",0.0,0.78,0.0,0.01,0.16,0.0
0.04,"[795, 251, 262, 358]",0.0,0.78,0.0,0.01,0.16,0.0
0.05,"[794, 250, 261, 357]",0.0,0.79,0.0,0.01,0.14,0.0
0.05,"[794, 250, 261, 357]",0.0,0.79,0.0,0.01,0.14,0.0
0.1,"[787, 262, 279, 346]",0.0,0.62,0.0,0.01,0.26,0.0
0.1,"[787, 262, 279, 346]",0.0,0.62,0.0,0.01,0.26,0.0
0.1,"[787, 262, 279, 346]",0.0,0.62,0.0,0.01,0.26,0.0
0.09,"[787, 262, 280, 347]",0.0,0.61,0.0,0.01,0.28,0.0
0.08,"[787, 261, 281, 349]",0.0,0.64,0.0,0.02,0.27,0.0
0.06,"[787, 261, 281, 351]",0.0,0.63,0.0,0.02,0.29,0.0
0.06,"[786, 261, 282, 351]",0.0,0.63,0.0,0.02,0.28,0.0
0.07,"[786, 261, 282, 351]",0.0,0.63,0.0,0.02,0.28,0.0
0.08,"[788, 262, 282, 351]",0.0,0.64,0.0,0.02,0.26,0.0
0.09,"[788, 263, 281, 350]",0.0,0.59,0.0,0.02,0.3,0.0
0.1,"[789, 266, 278, 349]",0.0,0.62,0.0,0.01,0.27,0.0
0.09,"[790, 266, 280, 348]",0.0,0.63,0.0,0.01,0.26,0.0
0.09,"[790, 266, 280, 348]",0.0,0.63,0.0,0.01,0.26,0.0
0.09,"[791, 267, 274, 348]",0.0,0.69,0.0,0.01,0.2,0.0
0.09,"[791, 267, 274, 348]",0.0,0.69,0.0,0.01,0.21,0.0
0.14,"[792, 273, 269, 341]",0.0,0.57,0.0,0.01,0.28,0.0
0.14,"[792, 273, 269, 341]",0.0,0.57,0.0,0.01,0.28,0.0
0.14,"[792, 273, 269, 341]",0.0,0.57,0.0,0.01,0.28,0.0
0.1,"[791, 272, 269, 343]",0.0,0.61,0.0,0.01,0.29,0.0
0.1,"[791, 272, 269, 343]",0.0,0.6,0.0,0.01,0.29,0.0
0.15,"[790, 274, 268, 340]",0.0,0.52,0.0,0.01,0.32,0.0
0.15,"[790, 274, 268, 340]",0.0,0.52,0.0,0.01,0.32,0.0
0.15,"[790, 274, 268, 340]",0.0,0.52,0.0,0.01,0.32,0.0
0.12,"[790, 273, 267, 340]",0.0,0.53,0.0,0.0,0.35,0.0
0.14,"[790, 274, 268, 339]",0.0,0.49,0.0,0.01,0.36,0.0
0.15,"[789, 271, 269, 341]",0.0,0.5,0.0,0.0,0.34,0.0
0.16,"[789, 271, 269, 341]",0.0,0.5,0.0,0.0,0.33,0.0
0.16,"[789, 271, 269, 341]",0.0,0.5,0.0,0.0,0.33,0.0
0.18,"[789, 272, 268, 339]",0.0,0.42,0.0,0.0,0.4,0.0
0.18,"[789, 272, 268, 339]",0.0,0.42,0.0,0.0,0.4,0.0
0.15,"[795, 253, 261, 357]",0.0,0.49,0.0,0.01,0.35,0.0
0.15,"[795, 253, 261, 357]",0.0,0.49,0.0,0.01,0.35,0.0
0.15,"[795, 253, 261, 357]",0.0,0.49,0.0,0.01,0.35,0.0
0.13,"[790, 272, 270, 340]",0.0,0.52,0.0,0.01,0.35,0.0
0.13,"[790, 272, 270, 340]",0.0,0.52,0.0,0.01,0.35,0.0
0.16,"[792, 271, 270, 341]",0.0,0.54,0.0,0.01,0.29,0.0
0.16,"[792, 271, 270, 341]",0.0,0.54,0.0,0.01,0.29,0.0
0.14,"[792, 272, 269, 340]",0.0,0.54,0.0,0.01,0.31,0.0
0.16,"[793, 272, 270, 340]",0.0,0.53,0.0,0.0,0.31,0.0
0.18,"[793, 273, 270, 339]",0.0,0.51,0.0,0.0,0.31,0.0
0.16,"[793, 272, 270, 339]",0.0,0.53,0.0,0.0,0.31,0.0
0.13,"[793, 271, 270, 340]",0.0,0.55,0.0,0.01,0.32,0.0
0.13,"[793, 271, 270, 340]",0.0,0.55,0.0,0.01,0.32,0.0
0.15,"[794, 273, 269, 337]",0.0,0.56,0.0,0.0,0.29,0.0
0.15,"[794, 273, 269, 337]",0.0,0.56,0.0,0.0,0.28,0.0
0.1,"[793, 270, 270, 341]",0.0,0.6,0.0,0.01,0.29,0.0
0.11,"[793, 270, 270, 341]",0.0,0.6,0.0,0.01,0.29,0.0
0.11,"[793, 270, 270, 341]",0.0,0.6,0.0,0.01,0.29,0.0
0.13,"[794, 271, 269, 340]",0.0,0.58,0.0,0.01,0.28,0.0
0.13,"[794, 271, 269, 340]",0.0,0.58,0.0,0.01,0.28,0.0
0.11,"[794, 271, 269, 339]",0.0,0.59,0.0,0.0,0.29,0.0
0.11,"[794, 271, 269, 339]",0.0,0.59,0.0,0.0,0.29,0.0
0.11,"[794, 271, 269, 339]",0.0,0.59,0.0,0.0,0.29,0.0
0.15,"[795, 271, 270, 337]",0.0,0.54,0.0,0.01,0.3,0.0
0.13,"[794, 271, 270, 338]",0.0,0.6,0.0,0.0,0.26,0.0
0.16,"[794, 267, 271, 344]",0.0,0.55,0.0,0.01,0.28,0.0
0.16,"[794, 267, 271, 344]",0.0,0.55,0.0,0.01,0.28,0.0
0.16,"[794, 267, 271, 344]",0.0,0.55,0.0,0.01,0.28,0.0
0.16,"[795, 268, 270, 343]",0.0,0.57,0.0,0.01,0.26,0.0
0.17,"[795, 268, 271, 342]",0.0,0.54,0.0,0.01,0.28,0.0
0.09,"[794, 268, 269, 345]",0.0,0.62,0.0,0.01,0.28,0.0
0.09,"[794, 268, 269, 345]",0.0,0.63,0.0,0.01,0.28,0.0
0.09,"[794, 268, 269, 345]",0.0,0.62,0.0,0.01,0.28,0.0
0.15,"[794, 269, 272, 341]",0.0,0.57,0.0,0.01,0.27,0.0
0.15,"[794, 269, 272, 341]",0.0,0.57,0.0,0.01,0.27,0.0
0.07,"[796, 267, 270, 343]",0.0,0.58,0.0,0.01,0.34,0.0
0.07,"[796, 267, 270, 343]",0.0,0.58,0.0,0.01,0.34,0.0
0.07,"[796, 267, 270, 343]",0.0,0.58,0.0,0.01,0.34,0.0
0.05,"[796, 265, 271, 348]",0.0,0.59,0.0,0.02,0.34,0.0
0.05,"[796, 265, 271, 348]",0.0,0.59,0.0,0.02,0.34,0.0
0.09,"[795, 266, 272, 349]",0.0,0.55,0.0,0.01,0.34,0.0
0.08,"[794, 267, 273, 348]",0.0,0.55,0.0,0.02,0.35,0.0
0.08,"[794, 267, 273, 348]",0.0,0.55,0.0,0.02,0.35,0.0
0.07,"[794, 268, 271, 347]",0.0,0.6,0.0,0.01,0.32,0.0
0.07,"[794, 268, 271, 347]",0.0,0.6,0.0,0.01,0.32,0.0
0.09,"[795, 269, 271, 345]",0.0,0.57,0.0,0.01,0.33,0.0
0.09,"[795, 269, 271, 345]",0.0,0.57,0.0,0.01,0.33,0.0
0.09,"[795, 269, 271, 345]",0.0,0.57,0.0,0.01,0.33,0.0
0.07,"[795, 269, 271, 346]",0.0,0.59,0.0,0.02,0.31,0.0
0.1,"[795, 271, 270, 344]",0.0,0.55,0.0,0.01,0.34,0.0
0.09,"[794, 271, 271, 345]",0.0,0.57,0.0,0.01,0.33,0.0
0.09,"[794, 271, 271, 345]",0.0,0.57,0.0,0.01,0.33,0.0
0.09,"[794, 271, 271, 345]",0.0,0.57,0.0,0.01,0.33,0.0
0.08,"[794, 271, 271, 345]",0.0,0.55,0.0,0.01,0.35,0.0
0.08,"[794, 271, 271, 345]",0.0,0.55,0.0,0.01,0.36,0.0
0.09,"[794, 272, 271, 343]",0.0,0.55,0.0,0.01,0.34,0.0
0.1,"[794, 273, 272, 341]",0.0,0.51,0.0,0.01,0.37,0.0
0.1,"[794, 273, 272, 341]",0.0,0.51,0.0,0.01,0.37,0.0
0.11,"[795, 274, 272, 339]",0.0,0.49,0.0,0.01,0.39,0.0
0.12,"[795, 275, 271, 338]",0.0,0.48,0.0,0.01,0.4,0.0
0.1,"[796, 276, 269, 339]",0.0,0.56,0.0,0.01,0.33,0.0
0.1,"[795, 274, 271, 341]",0.0,0.58,0.0,0.01,0.31,0.0
0.1,"[795, 274, 271, 341]",0.0,0.58,0.0,0.01,0.31,0.0
0.12,"[796, 275, 271, 340]",0.0,0.5,0.0,0.01,0.38,0.0
0.11,"[796, 274, 271, 341]",0.0,0.56,0.0,0.01,0.33,0.0
0.12,"[796, 274, 270, 341]",0.0,0.52,0.0,0.01,0.34,0.0
0.12,"[796, 274, 270, 341]",0.0,0.52,0.0,0.01,0.34,0.0
0.12,"[796, 274, 270, 341]",0.0,0.52,0.0,0.01,0.34,0.0
0.12,"[795, 275, 271, 339]",0.0,0.56,0.0,0.01,0.31,0.0
0.12,"[795, 274, 271, 340]",0.0,0.54,0.0,0.01,0.33,0.0
0.13,"[795, 274, 272, 341]",0.0,0.49,0.0,0.01,0.37,0.0
0.13,"[795, 274, 272, 341]",0.0,0.49,0.0,0.01,0.37,0.0
0.13,"[795, 274, 272, 341]",0.0,0.49,0.0,0.01,0.37,0.0
0.15,"[795, 272, 274, 343]",0.0,0.48,0.0,0.01,0.36,0.0
0.15,"[795, 272, 274, 343]",0.0,0.49,0.0,0.01,0.36,0.0
0.14,"[796, 272, 273, 341]",0.0,0.48,0.0,0.01,0.37,0.0
0.14,"[796, 273, 273, 340]",0.0,0.49,0.0,0.01,0.37,0.0
0.14,"[796, 273, 273, 340]",0.0,0.49,0.0,0.01,0.37,0.0
0.12,"[795, 271, 273, 345]",0.0,0.57,0.0,0.01,0.3,0.0
0.12,"[795, 271, 273, 345]",0.0,0.57,0.0,0.01,0.3,0.0
0.15,"[796, 271, 273, 343]",0.0,0.47,0.0,0.01,0.37,0.0
0.15,"[795, 271, 275, 343]",0.0,0.46,0.0,0.01,0.38,0.0
0.15,"[795, 271, 275, 343]",0.0,0.46,0.0,0.01,0.38,0.0
0.17,"[796, 271, 272, 341]",0.0,0.43,0.0,0.01,0.39,0.0
0.18,"[796, 271, 272, 341]",0.0,0.42,0.0,0.01,0.39,0.0
0.29,"[793, 266, 278, 346]",0.0,0.46,0.0,0.02,0.23,0.0
0.25,"[793, 267, 278, 346]",0.0,0.48,0.0,0.02,0.25,0.0
0.29,"[793, 266, 278, 347]",0.0,0.47,0.0,0.02,0.22,0.0
0.31,"[792, 266, 278, 347]",0.0,0.43,0.0,0.02,0.23,0.0
0.32,"[792, 266, 278, 347]",0.0,0.43,0.0,0.02,0.23,0.0
0.33,"[792, 263, 278, 348]",0.0,0.39,0.0,0.04,0.23,0.01
0.33,"[792, 263, 278, 348]",0.0,0.4,0.0,0.04,0.22,0.01
0.33,"[792, 263, 278, 348]",0.0,0.4,0.0,0.04,0.22,0.01
0.34,"[791, 262, 278, 348]",0.0,0.34,0.0,0.05,0.25,0.02
0.33,"[791, 262, 278, 348]",0.0,0.34,0.0,0.05,0.25,0.02
0.35,"[792, 260, 280, 348]",0.0,0.33,0.0,0.06,0.23,0.02
0.35,"[792, 260, 280, 348]",0.0,0.33,0.0,0.07,0.23,0.02
0.35,"[792, 260, 280, 348]",0.0,0.33,0.0,0.07,0.23,0.02
